version,user_name,date,time,product,is_success,num_files_created,missing_files_found,files_added_to_testng,error_msg,test_analyzed,ng_files_found,non_ng_files_found,total_files_with_descrepancies,total_files_without_descrepancies,passed_tests_with_no_ng_path,passed_tests_found_with_no_change,ng_files_overwritten,files_with_new_descrepencies
1,zalmanr,07/02/2024,11:24:04,Refactor_Tests,TRUE,21,,,,22,7,15,,,,,,
1,yaels,07/02/2024,11:26:31,Refactor_Tests,TRUE,0,,,,5,4,1,,,,,,
1,zalmanr,07/02/2024,11:26:37,Refactor_Tests,TRUE,0,,,,22,7,15,,,,,,
1,ilanb,07/02/2024,11:29:44,Test_List_Compare,TRUE,,10,,,,,,,,,,
1,yaels,07/02/2024,11:30:39,Test_List_Compare,TRUE,,3747,,,,,,,,,,
1,ilanb,07/02/2024,11:32:48,Test_List_Compare,TRUE,,9,,,,,,,,,,
1,yaels,07/02/2024,11:33:13,Refactor_Tests,TRUE,5,,,,5,4,1,,,,,,
1,ronif,07/02/2024,11:38:00,Refactor_Tests,TRUE,0,,,,17,17,0,,,,,,
1,rona,07/02/2024,11:51:55,Refactor_Tests,TRUE,10,,,,10,9,1,,,,,,
1,rona,07/02/2024,11:53:37,Refactor_Tests,TRUE,0,,,,10,9,1,,,,,,
1,ilanb,07/02/2024,12:23:25,Test_List_Compare,TRUE,,13,,,,,,,,,,
1,hadark,07/02/2024,13:52:11,Refactor_Tests,TRUE,2,,,,2,1,1,,,,,,
1,hadark,07/02/2024,14:00:46,Refactor_Tests,TRUE,0,,,,107,47,60,,,,,,
1,yaels,07/02/2024,14:04:43,Test_List_Compare,TRUE,,0,,,,,,,,,,
1,yaels,07/02/2024,14:05:30,Test_List_Compare,TRUE,,0,,,,,,,,,,
1,idob,08/02/2024,10:10:38,Refactor_Tests,TRUE,1,,,,,,,,,,,
1.0,idob,2024-02-11,11:47:09,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-11,17:39:44,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,08:35:39,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,08:49:54,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,08:54:50,Refactor_Tests,True,3,,,,,,,,,,
1.0,idob,2024-02-12,09:39:57,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,10:03:59,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,10:10:29,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,10:20:04,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,11:07:01,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,11:18:14,Refactor_Tests,True,1,,,,,,,,,,
1.0,idob,2024-02-12,11:52:57,Refactor_Tests,True,1,,,,,,,,,,
1.4,davidbe,2024-02-12,13:08:43,Test_List_Compare,True,,4619,,,4741,,,,,,,,
1.4,idob,2024-02-12,13:43:15,Refactor_Tests,True,1,,,,2,1,1,,,,,,
1.4,idob,2024-02-12,14:11:27,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,davidbe,2024-02-12,14:46:23,Refactor_Tests,True,0,,,,75,30,45,,,,,,
1.4,idob,2024-02-12,15:03:38,Refactor_Tests,True,1,,,,1,0,1,,,,,,
